Period,Org,Org Country,Via,Dst,Dst Country,Mkt Car,Stops,Seats,Miles,Blktm,Departures,Seats_total,Remove,ASMs
2015,AXA,AI,"",SXM,SX,WM,0,19,11,10,1,19,,209
2015,AXA,AI,SXM,EIS,VG,LI,1,47,98,87,172,8008,,784784
2015,EZE,AR,GIG,DXB,AE,EK,1,296,8492,1110,365,108178,,918647576
2015,AEP,AR,"",AFA,AR,AR,0,96,568,108,165,15840,,8997120
2015,AEP,AR,LUQ,AFA,AR,AR,1,96,568,188,200,19200,,10905600
2015,AEP,AR,MDQ,BHI,AR,8R,1,34,354,165,362,12308,,4357032
2015,AEP,AR,"",BHI,AR,AR,0,143,354,80,1029,147030,,52048620
2015,AEP,AR,VDM,BHI,AR,AR,1,96,354,160,36,3456,,1223424
2015,AEP,AR,"",BHI,AR,LA,0,156,354,80,365,56916,,20148264
2015,AEP,AR,"",BRC,AR,AR,0,157,829,140,2022,316936,,262739944
2015,AEP,AR,"",BRC,AR,LA,0,156,829,145,1317,205308,,170200332
2015,AEP,AR,"",CNQ,AR,AR,0,118,491,90,110,12960,,6363360
2015,AEP,AR,"",COR,AR,AR,0,140,404,83,3298,460740,,186138960
2015,AEP,AR,"",COR,AR,LA,0,156,404,90,1670,260394,,105199176
2015,AEP,AR,"",CPC,AR,AR,0,129,795,140,380,49058,,39001110
2015,AEP,AR,"",CRD,AR,AR,0,147,909,147,1876,276632,,251458488
2015,AEP,AR,"",CRD,AR,LA,0,156,909,159,258,40236,,36574524
2015,AEP,AR,"",CTC,AR,AR,0,98,596,115,312,30472,,18161312
2015,AEP,AR,IRJ,CTC,AR,AR,1,96,596,182,1,96,,57216
2015,AEP,AR,"",EQS,AR,AR,0,96,894,153,273,26208,,23429952
2015,AEP,AR,CPC,EQS,AR,AR,1,170,894,228,8,1360,,1215840
2015,AEP,AR,"",FMA,AR,AR,0,96,576,105,612,59012,,33990912
2015,AEP,AR,"",FTE,AR,AR,0,159,1284,200,1233,195936,,251581824
2015,AEP,AR,BRC,FTE,AR,AR,1,170,1284,299,26,4420,,5675280
2015,AEP,AR,"",FTE,AR,LA,0,156,1284,205,273,42588,,54682992
2015,AEP,AR,USH,FTE,AR,LA,1,156,1284,351,62,9672,,12418848
2015,AEP,AR,"",IGR,AR,AR,0,144,652,105,1881,270060,,176079120
