Period,Org,Dst,Mkt Car,Stops,Seats,Miles,Blktm,Departures,Seats,Remove,ASMs
2015,BLA,PMV,5R,0,115,73,25,35,4025,,293825
2015,BLA,PMV,9V,0,108,73,25,393,42491,,3101843
2015,BLA,PMV,QL,0,150,73,425,34,5100,,372300
2015,BLA,PMV,RUC,0,115,73,25,3,345,,25185
2015,BLA,PMV,V0,0,14,73,35,363,5082,,370986
2015,BLA,PTY,9V,0,137,1003,160,221,30354,,30445062
2015,BLA,PZO,9V,0,108,181,40,313,33804,,6118524
2015,BLA,PZO,R7,0,150,181,35,334,50100,,9068100
2015,BLA,VIG,QL,0,150,486,195,24,3600,,1749600
2015,BLA,VLN,9V,0,120,219,45,765,92020,,20152380
2015,BLA,VLN,R7,0,150,219,40,334,50100,,10971900
2015,BNS,CCS,9V,0,50,259,78,156,7800,,2020200
2015,BNS,CCS,RGR,0,50,259,80,139,6950,,1800050
2015,BNS,CCS,V0,0,81,259,50,310,25004,,6476036
2015,BOG,ADZ,AV,0,149,750,131,1463,217487,,163115250
2015,BOG,ADZ,CM,0,94,750,136,365,34310,,25732500
2015,BOG,ADZ,LA,0,156,750,131,1069,166698,,125023500
2015,BOG,ADZ,VVC,0,150,750,140,549,82350,,61762500
2015,BOG,APO,9R,0,46,277,99,154,7084,,1962268
2015,BOG,ATL,DL,0,175,2104,303,365,63961,,134573944
2015,BOG,AUA,AV,0,147,608,111,365,53700,,32649600
2015,BOG,AUA,LA,0,156,608,120,104,16218,,9860544
2015,BOG,AUC,9R,0,69,285,80,663,45578,,12989730
2015,BOG,AXM,9R,0,46,112,71,197,9062,,1014944
2015,BOG,AXM,AV,0,109,112,65,2432,265810,,29770720
2015,BOG,BAQ,AV,0,141,429,91,5986,841861,,361158369
2015,BOG,BAQ,LA,0,156,429,90,1475,230004,,98671716
2015,BOG,BAQ,VVC,0,150,429,98,292,43800,,18790200
2015,BOG,BCN,AV,0,252,5286,627,365,91980,,486206280
2015,BOG,BGA,AV,0,135,179,65,4544,614224,,109946096
2015,BOG,BGA,LA,0,156,179,63,1336,208332,,37291428
2015,BOG,BGA,VVC,0,150,179,69,290,43500,,7786500
2015,BOG,BGI,AV,0,100,1153,190,9,900,,1037700
2015,BOG,BLB,VVC,0,150,473,108,303,45450,,21497850
2015,BOG,BUN,9R,0,46,205,87,193,8878,,1819990
2015,BOG,CCS,AV,0,180,636,120,731,131236,,83466096
2015,BOG,CCS,CM,0,115,636,124,376,43054,,27382344
2015,BOG,CCS,EQ,0,109,636,102,271,29515,,18771540
2015,BOG,CCS,V0,0,98,636,90,470,46060,,29294160
2015,BOG,CDG,AF,0,275,5367,645,345,94875,,509194125
2015,BOG,CLO,AV,0,141,173,68,9427,1333810,,230749130
2015,BOG,CLO,CM,0,94,173,67,365,34310,,5935630
2015,BOG,CLO,LA,0,156,173,66,2320,361764,,62585172
2015,BOG,CLO,VVC,0,150,173,73,623,93450,,16166850
2015,BOG,CTG,AV,0,147,406,90,6430,946082,,384109292
2015,BOG,CTG,LA,0,156,406,89,2311,360336,,146296416
2015,BOG,CTG,VVC,0,150,406,98,651,97650,,39645900
2015,BOG,CUC,AV,0,132,248,74,3540,468696,,116236608
2015,BOG,CUC,LA,0,156,248,74,613,95586,,23705328
2015,BOG,CUC,VVC,0,150,248,82,187,28050,,6956400
2015,BOG,CUN,AV,0,145,1414,217,731,106358,,150390212
2015,BOG,CUN,CM,0,94,1414,237,365,34310,,48514340
2015,BOG,CUN,LA,0,156,1414,221,364,56760,,80258640
2015,BOG,CUR,AV,0,119,626,114,335,39962,,25016212
2015,BOG,CZU,9R,0,53,328,104,346,18334,,6013552
2015,BOG,DFW,AA,0,128,2442,351,365,46704,,114051168
2015,BOG,EJA,AV,0,87,161,68,1321,114304,,18402944
2015,BOG,EOH,9R,0,55,144,80,1610,87802,,12643488
2015,BOG,EWR,UA,0,118,2485,365,377,44520,,110632200
2015,BOG,EYP,AV,0,78,127,67,790,61800,,7848600
2015,BOG,EYP,LA,0,156,127,60,725,113064,,14359128
2015,BOG,EYP,VVC,0,150,127,67,38,5700,,723900
2015,BOG,EZE,AR,0,274,2911,395,201,55000,,160105000
2015,BOG,EZE,AV,0,251,2911,375,208,52196,,151942556
2015,BOG,FLA,9R,0,49,236,94,633,30912,,7295232
2015,BOG,FLA,AV,0,72,236,96,365,26280,,6202080
2015,BOG,FLL,AV,0,139,1528,238,365,50710,,77484880
2015,BOG,FLL,B6,0,150,1528,234,499,74850,,114370800
2015,BOG,FLL,NK,0,178,1528,236,373,66282,,101278896
2015,BOG,FOR,O6,0,132,2525,323,52,6856,,17311400
2015,BOG,FRA,LH,0,293,5642,665,346,101378,,571974676
2015,BOG,GIG,AV,0,120,2820,387,319,38296,,107994720
2015,BOG,GIG,LR,0,120,2820,390,47,5640,,15904800
2015,BOG,GRU,AV,0,220,2691,360,729,160566,,432083106
2015,BOG,GRU,LA,0,214,2691,379,365,78110,,210194010
2015,BOG,GUA,AV,0,104,1306,198,360,37310,,48726860
2015,BOG,GYE,AV,0,121,617,110,1088,131988,,81436596
2015,BOG,HAV,AV,0,109,1377,208,335,36368,,50078736
2015,BOG,HAV,CM,0,94,1377,225,129,12126,,16697502
2015,BOG,HAV,CU,0,116,1377,209,89,10332,,14227164
2015,BOG,IAD,AV,0,120,2373,317,364,43696,,103690608
2015,BOG,IAH,UA,0,158,2226,317,728,114872,,255705072
2015,BOG,IBE,AV,0,72,71,55,1331,95832,,6804072
2015,BOG,IBE,LA,0,37,71,50,721,26677,,1894067
2015,BOG,JFK,AV,0,184,2481,344,734,135300,,335679300
2015,BOG,JFK,DL,0,175,2481,350,202,35319,,87626439
2015,BOG,LAX,AV,0,252,3478,460,105,26460,,92027880
2015,BOG,LET,AV,0,133,678,126,365,48624,,32967072
2015,BOG,LET,LA,0,156,678,126,427,66582,,45142596
2015,BOG,LHR,AV,0,252,5262,641,274,69048,,363330576
2015,BOG,LIM,AV,0,163,1172,179,1797,293726,,344246872
2015,BOG,LIM,LA,0,136,1172,185,1019,138632,,162476704
2015,BOG,LIM,VVC,0,150,1172,187,196,29400,,34456800
2015,BOG,LMC,9R,0,53,176,87,120,6326,,1113376
2015,BOG,LPB,AV,0,120,1519,223,360,43216,,65645104
2015,BOG,MAD,AV,0,251,4987,588,730,183442,,914825254
2015,BOG,MAD,IB,0,359,4987,598,365,130913,,652863131
2015,BOG,MCO,AV,0,143,1703,257,367,52465,,89347895
2015,BOG,MCO,B6,0,150,1703,252,475,71250,,121338750
2015,BOG,MDE,AV,0,144,133,59,10508,1510714,,200924962
2015,BOG,MDE,CM,0,120,133,63,365,43820,,5828060
2015,BOG,MDE,LA,0,156,133,58,2989,466074,,61987842
2015,BOG,MDE,VVC,0,150,133,68,1355,203250,,27032250
2015,BOG,MEX,4O,0,150,1962,285,730,109500,,214839000
2015,BOG,MEX,AM,0,152,1962,300,730,110974,,217730988
2015,BOG,MEX,AV,0,164,1962,283,1097,179566,,352308492
2015,BOG,MEX,CM,0,124,1962,299,365,45260,,88800120
2015,BOG,MIA,AA,0,194,1511,232,842,163091,,246430501
2015,BOG,MIA,AV,0,174,1511,227,1097,190508,,287857588
2015,BOG,MIA,LA,0,214,1511,239,365,78110,,118024210
2015,BOG,MIA,VVC,0,150,1511,235,9,1350,,2039850
2015,BOG,MTR,AV,0,133,306,88,1422,188868,,57793608
2015,BOG,MTR,LA,0,156,306,81,741,115548,,35357688
2015,BOG,MTR,VVC,0,150,306,89,338,50700,,15514200
2015,BOG,MVP,9R,0,76,359,90,62,4712,,1691608
2015,BOG,MZL,AV,0,72,93,70,2384,171648,,15963264
2015,BOG,NVA,AV,0,77,144,67,2415,184840,,26616960
2015,BOG,NVA,LA,0,37,144,60,544,20128,,2898432
2015,BOG,PCR,9R,0,75,468,102,243,18156,,8497008
2015,BOG,PDA,9R,0,71,433,98,141,10066,,4358578
2015,BOG,PEI,AV,0,135,110,62,3880,522482,,57473020
2015,BOG,PEI,LA,0,156,110,60,814,126924,,13961640
2015,BOG,PEI,VVC,0,150,110,69,320,48000,,5280000
2015,BOG,PPN,AV,0,72,230,94,1007,72539,,16683970
2015,BOG,PSO,9R,0,62,315,87,372,23020,,7251300
2015,BOG,PSO,AV,0,114,315,82,1411,160529,,50566635
2015,BOG,PTX,9R,0,46,238,93,112,5152,,1225900
2015,BOG,PTY,AV,0,141,469,98,1105,155964,,73147116
2015,BOG,PTY,CM,0,113,469,107,2864,324486,,152183934
2015,BOG,PUJ,AV,0,136,1034,174,418,56884,,58818056
2015,BOG,PUJ,CM,0,94,1034,180,143,13442,,13899028
2015,BOG,PUJ,LA,0,156,1034,185,17,2652,,2742168
2015,BOG,PUU,9R,0,46,332,109,382,17572,,5833904
2015,BOG,PUU,LA,0,37,332,105,241,8917,,2960444
2015,BOG,RCH,AV,0,123,478,102,719,88362,,42237036
2015,BOG,RVE,9R,0,50,220,90,115,5710,,1256200
2015,BOG,SAL,AV,0,135,1181,180,933,125552,,148276912
2015,BOG,SCL,AV,0,190,2639,341,733,139172,,367274908
2015,BOG,SCL,LA,0,214,2639,361,645,137918,,363965602
2015,BOG,SDQ,AV,0,141,994,168,434,61330,,60962020
2015,BOG,SJE,9R,0,46,179,82,194,8924,,1597396
2015,BOG,SJO,AV,0,120,779,135,682,81872,,63778288
2015,BOG,SJO,LR,0,120,779,135,48,5760,,4487040
2015,BOG,SJU,AV,0,122,1095,176,259,31472,,34461840
2015,BOG,SMR,AV,0,138,443,93,3526,486176,,215375968
2015,BOG,SMR,LA,0,156,443,94,1041,162324,,71909532
2015,BOG,SMR,VVC,0,150,443,99,325,48750,,21596250
2015,BOG,SVI,9R,0,19,181,85,14,266,,48146
2015,BOG,TCO,9R,0,49,375,104,271,13234,,4962750
2015,BOG,TME,9R,0,46,203,89,40,1840,,373520
2015,BOG,UIB,9R,0,47,184,86,742,34860,,6414240
2015,BOG,UIB,LA,0,37,184,80,46,1702,,313168
2015,BOG,UIO,AV,0,138,448,100,1444,199782,,89502336
2015,BOG,UIO,CM,0,103,448,103,365,37550,,16822400
2015,BOG,UIO,EQ,0,109,448,89,271,29515,,13222720
2015,BOG,UIO,VVC,0,150,448,100,187,28050,,12566400
2015,BOG,VGZ,9R,0,47,308,105,349,16418,,5056744
2015,BOG,VLN,9V,0,155,567,90,116,17980,,10194660
2015,BOG,VUP,AV,0,145,400,88,1077,156390,,62556000
2015,BOG,VUP,LA,0,156,400,89,375,58476,,23390400
2015,BOG,VVC,9R,0,61,52,72,167,10207,,530764
2015,BOG,VVC,AV,0,72,52,70,721,51912,,2699424
2015,BOG,VVC,LA,0,37,52,60,820,30340,,1577680
2015,BOG,YYZ,AC,0,191,2711,370,226,43166,,117023026
2015,BON,AMS,KL,0,244,4839,561,247,60364,,292101396
2015,BON,AMS,OR,0,249,4839,594,38,9480,,45873720
2015,BON,ATL,DL,0,171,1801,255,70,11950,,21521950
2015,BON,AUA,7I,0,50,119,45,365,18250,,2171750
2015,BON,CUR,3P,0,36,46,20,5,180,,8280
2015,BON,CUR,7I,0,53,46,27,2246,119672,,5504912
2015,BON,CUR,DVR,0,9,46,28,1816,16344,,751824
2015,BON,EWR,UA,0,149,2005,303,58,8664,,17371320
2015,BON,IAH,UA,0,151,2126,301,79,11892,,25282392
2015,BPS,AEP,AR,0,170,1730,275,8,1360,,2352800
2015,BPS,BSB,G3,0,170,588,95,8,1360,,799680
2015,BPS,BSB,JJ,0,166,588,102,242,40272,,23679936
